payor,recipient,trans
Austria,Austria,0
Austria,Australia,0
Austria,Belgium,0
Austria,Brazil,0
Austria,China,0
Austria,Chile,0
Austria,Canada,0
Austria,Croatia,0
Austria,Czech_Republic,0
Austria,Egypt,0
Austria,France,0
Austria,Germany,0
Austria,Greece,0
Austria,Hong_Kong,0
Austria,Indonesia,0
Austria,India,0
Austria,Ireland,0
Austria,Italy,0
Austria,Japan,0
Austria,Korea,0
Austria,Malaysia,0
Austria,Mexico,0
Austria,Netherlands,0
Austria,New_Zealand,0
Austria,Puerto_Rico,0
Austria,Philippines,0
Austria,Poland,0
Austria,Portugal,0
Austria,Pakistan,0
Austria,Russia,0
Austria,South_Africa,0
Austria,Singapore,0
Austria,Spain,0
Austria,Saudi_Arabic,0
Austria,Thailand,0
Austria,Taiwan,0
Austria,UAE,0
Austria,United_Kingdom,64965
Austria,United_States,0
Austria,Vietnam,0
Australia,Austria,0
Australia,Australia,0
Australia,Belgium,0
Australia,Brazil,0
Australia,China,0
Australia,Chile,0
Australia,Canada,0
Australia,Croatia,0
Australia,Czech_Republic,0
Australia,Egypt,0
Australia,France,0
Australia,Germany,0
Australia,Greece,0
Australia,Hong_Kong,0
Australia,Indonesia,0
Australia,India,0
Australia,Ireland,0
Australia,Italy,0
Australia,Japan,0
Australia,Korea,0
Australia,Malaysia,0
Australia,Mexico,0
Australia,Netherlands,0
Australia,New_Zealand,0
Australia,Puerto_Rico,0
Australia,Philippines,0
Australia,Poland,0
Australia,Portugal,0
Australia,Pakistan,0
Australia,Russia,0
Australia,South_Africa,0
Australia,Singapore,0
Australia,Spain,0
Australia,Saudi_Arabic,0
Australia,Thailand,0
Australia,Taiwan,0
Australia,UAE,0
Australia,United_Kingdom,534116
Australia,United_States,0
Australia,Vietnam,0
Belgium,Austria,0
Belgium,Australia,0
Belgium,Belgium,0
Belgium,Brazil,0
Belgium,China,0
Belgium,Chile,0
Belgium,Canada,0
Belgium,Croatia,0
Belgium,Czech_Republic,0
Belgium,Egypt,0
Belgium,France,25205
Belgium,Germany,0
Belgium,Greece,0
Belgium,Hong_Kong,0
Belgium,Indonesia,0
Belgium,India,0
Belgium,Ireland,0
Belgium,Italy,0
Belgium,Japan,0
Belgium,Korea,0
Belgium,Malaysia,0
Belgium,Mexico,0
Belgium,Netherlands,0
Belgium,New_Zealand,0
Belgium,Puerto_Rico,0
Belgium,Philippines,0
Belgium,Poland,0
Belgium,Portugal,0
Belgium,Pakistan,0
Belgium,Russia,0
Belgium,South_Africa,0
Belgium,Singapore,0
Belgium,Spain,0
Belgium,Saudi_Arabic,0
Belgium,Thailand,0
