payor,recipient,trans
Argentina,Argentina,0
Argentina,Australia,0
Argentina,Belgium,0
Argentina,Brazil,0
Argentina,China,0
Argentina,Chile,0
Argentina,Canada,0
Argentina,Columbia,0
Argentina,Czech_Republic,0
Argentina,Denmark,0
Argentina,Finland,0
Argentina,France,0
Argentina,Germany,0
Argentina,Hong_Kong,0
Argentina,Hungary,0
Argentina,Indonesia,0
Argentina,India,0
Argentina,Italy,0
Argentina,Japan,0
Argentina,Korea,0
Argentina,Mexico,0
Argentina,Netherlands,0
Argentina,Norway,0
Argentina,Puerto_Rico,0
Argentina,Poland,0
Argentina,Portugal,0
Argentina,Russia,0
Argentina,South_Africa,0
Argentina,Singapore,0
Argentina,Spain,0
Argentina,Sweden,0
Argentina,Switzerland,0
Argentina,Turkey,0
Argentina,UAE,0
Argentina,Ukraine,0
Argentina,United_Kingdom,0
Argentina,United_States,66570
Australia,Argentina,0
Australia,Australia,0
Australia,Belgium,0
Australia,Brazil,0
Australia,China,0
Australia,Chile,0
Australia,Canada,0
Australia,Columbia,0
Australia,Czech_Republic,0
Australia,Denmark,0
Australia,Finland,0
Australia,France,0
Australia,Germany,0
Australia,Hong_Kong,0
Australia,Hungary,0
Australia,Indonesia,0
Australia,India,0
Australia,Italy,0
Australia,Japan,0
Australia,Korea,0
Australia,Mexico,0
Australia,Netherlands,0
Australia,Norway,0
Australia,Puerto_Rico,0
Australia,Poland,0
Australia,Portugal,0
Australia,Russia,0
Australia,South_Africa,0
Australia,Singapore,0
Australia,Spain,0
Australia,Sweden,0
Australia,Switzerland,0
Australia,Turkey,0
Australia,UAE,0
Australia,Ukraine,0
Australia,United_Kingdom,0
Australia,United_States,728836
Belgium,Argentina,0
Belgium,Australia,0
Belgium,Belgium,0
Belgium,Brazil,0
Belgium,China,0
Belgium,Chile,0
Belgium,Canada,0
Belgium,Columbia,0
Belgium,Czech_Republic,0
Belgium,Denmark,0
Belgium,Finland,0
Belgium,France,0
Belgium,Germany,0
Belgium,Hong_Kong,0
Belgium,Hungary,0
Belgium,Indonesia,0
Belgium,India,0
Belgium,Italy,0
Belgium,Japan,0
Belgium,Korea,0
Belgium,Mexico,0
Belgium,Netherlands,0
Belgium,Norway,0
Belgium,Puerto_Rico,0
Belgium,Poland,0
Belgium,Portugal,0
Belgium,Russia,0
Belgium,South_Africa,0
Belgium,Singapore,0
Belgium,Spain,0
Belgium,Sweden,0
Belgium,Switzerland,0
Belgium,Turkey,0
Belgium,UAE,0
