payor,recipient,trans
Argentina,Argentina,0
Argentina,Austria,0
Argentina,Australia,0
Argentina,Belgium,0
Argentina,China,0
Argentina,Canada,0
Argentina,Croatia,0
Argentina,Denmark,0
Argentina,Finland,0
Argentina,France,0
Argentina,Germany,0
Argentina,Hong_Kong,0
Argentina,Hungary,0
Argentina,India,0
Argentina,Ireland,0
Argentina,Italy,0
Argentina,Japan,0
Argentina,Korea,0
Argentina,Lebanon,0
Argentina,Malaysia,0
Argentina,Netherlands,0
Argentina,New_Zealand,0
Argentina,Philippines,0
Argentina,Poland,0
Argentina,Qatar,0
Argentina,Russia,0
Argentina,South_Africa,0
Argentina,Belgium,0
Argentina,Singapore,0
Argentina,Spain,0
Argentina,Saudi_Arabic,0
Argentina,Slovenia,0
Argentina,Sweden,0
Argentina,Switzerland,0
Argentina,Thailand,0
Argentina,Turkey,0
Argentina,UAE,0
Argentina,Ukraine,0
Argentina,United_Kingdom,0
Argentina,United_States,97956
Argentina,Vietnam,0
Austria,Argentina,0
Austria,Austria,0
Austria,Australia,0
Austria,Belgium,0
Austria,China,0
Austria,Canada,0
Austria,Croatia,0
Austria,Denmark,0
Austria,Finland,0
Austria,France,141421
Austria,Germany,0
Austria,Hong_Kong,0
Austria,Hungary,0
Austria,India,0
Austria,Ireland,0
Austria,Italy,0
Austria,Japan,0
Austria,Korea,0
Austria,Lebanon,0
Austria,Malaysia,0
Austria,Netherlands,0
Austria,New_Zealand,0
Austria,Philippines,0
Austria,Poland,0
Austria,Qatar,0
Austria,Russia,0
Austria,South_Africa,0
Austria,Belgium,0
Austria,Singapore,0
Austria,Spain,0
Austria,Saudi_Arabic,0
Austria,Slovenia,0
Austria,Sweden,0
Austria,Switzerland,0
Austria,Thailand,0
Austria,Turkey,0
Austria,UAE,0
Austria,Ukraine,0
Austria,United_Kingdom,0
Austria,United_States,0
Austria,Vietnam,0
Australia,Argentina,0
Australia,Austria,0
Australia,Australia,0
Australia,Belgium,0
Australia,China,0
Australia,Canada,0
Australia,Croatia,0
Australia,Denmark,0
Australia,Finland,0
Australia,France,0
Australia,Germany,0
Australia,Hong_Kong,0
Australia,Hungary,0
Australia,India,0
Australia,Ireland,0
Australia,Italy,0
Australia,Japan,0
Australia,Korea,0
Australia,Lebanon,0
Australia,Malaysia,0
Australia,Netherlands,1358339
Australia,New_Zealand,0
Australia,Philippines,0
Australia,Poland,0
Australia,Qatar,0
Australia,Russia,0
Australia,South_Africa,0
Australia,Belgium,0
Australia,Singapore,0
Australia,Spain,0
