Payer,Recipent,Trans
as,as,0
as,au,0
as,be,0
as,br,0
as,ch,0
as,cl,0
as,cn,0
as,cr,0
as,cz,0
as,eg,0
as,fr,0
as,ge,0
as,gr,0
as,hk,0
as,id,0
as,in,0
as,ir,0
as,it,0
as,ja,0
as,ko,0
as,ma,0
as,me,0
as,ne,0
as,nz,0
as,pe,0
as,ph,0
as,pl,0
as,po,0
as,pk,0
as,ru,0
as,sa,0
as,si,0
as,sp,0
as,sr,0
as,th,0
as,tw,0
as,ua,0
as,uk,64965
as,us,0
as,vn,0
au,as,0
au,au,0
au,be,0
au,br,0
au,ch,0
au,cl,0
au,cn,0
au,cr,0
au,cz,0
au,eg,0
au,fr,0
au,ge,0
au,gr,0
au,hk,0
au,id,0
au,in,0
au,ir,0
au,it,0
au,ja,0
au,ko,0
au,ma,0
au,me,0
au,ne,0
au,nz,0
au,pe,0
au,ph,0
au,pl,0
au,po,0
au,pk,0
au,ru,0
au,sa,0
au,si,0
au,sp,0
au,sr,0
au,th,0
au,tw,0
au,ua,0
au,uk,534116
au,us,0
au,vn,0
be,as,0
be,au,0
be,be,0
be,br,0
be,ch,0
be,cl,0
be,cn,0
be,cr,0
be,cz,0
be,eg,0
be,fr,25205
be,ge,0
be,gr,0
be,hk,0
be,id,0
be,in,0
be,ir,0
be,it,0
be,ja,0
be,ko,0
be,ma,0
be,me,0
be,ne,0
be,nz,0
be,pe,0
be,ph,0
be,pl,0
be,po,0
be,pk,0
be,ru,0
be,sa,0
be,si,0
be,sp,0
be,sr,0
be,th,0
be,tw,0
be,ua,0
be,uk,175391
be,us,167183
be,vn,0
br,as,0
br,au,0
br,be,0
br,br,0
br,ch,0
br,cl,0
br,cn,0
br,cr,0
br,cz,0
br,eg,0
br,fr,0
br,ge,0
br,gr,0
br,hk,0
br,id,0
br,in,0
br,ir,0
br,it,0
br,ja,0
br,ko,0
br,ma,0
br,me,0
br,ne,0
br,nz,0
br,pe,0
br,ph,0
br,pl,0
br,po,0
br,pk,0
br,ru,0
br,sa,0
br,si,0
br,sp,0
br,sr,0
br,th,0
br,tw,0
br,ua,0
br,uk,85793
br,us,0
br,vn,0
ch,as,0
ch,au,0
ch,be,0
ch,br,0
ch,ch,820930
ch,cl,0
ch,cn,0
ch,cr,0
ch,cz,0
ch,eg,0
ch,fr,10374
ch,ge,0
ch,gr,0
ch,hk,0
ch,id,0
ch,in,0
ch,ir,0
ch,it,0
ch,ja,0
ch,ko,0
ch,ma,0
ch,me,0
ch,ne,0
ch,nz,0
ch,pe,0
ch,ph,0
ch,pl,0
ch,po,0
ch,pk,0
ch,ru,0
ch,sa,0
ch,si,1345706
ch,sp,0
ch,sr,0
ch,th,0
ch,tw,0
ch,ua,0
ch,uk,419959
ch,us,0
ch,vn,0
cl,as,0
cl,au,0
cl,be,0
cl,br,0
cl,ch,0
cl,cl,0
cl,cn,0
cl,cr,0
cl,cz,0
cl,eg,0
cl,fr,0
cl,ge,0
cl,gr,0
cl,hk,0
cl,id,0
cl,in,0
cl,ir,0
cl,it,0
cl,ja,0
cl,ko,0
cl,ma,0
cl,me,0
cl,ne,0
cl,nz,0
cl,pe,0
cl,ph,0
cl,pl,0
cl,po,0
cl,pk,0
cl,ru,0
cl,sa,0
cl,si,0
cl,sp,0
cl,sr,0
cl,th,0
cl,tw,0
cl,ua,0
cl,uk,9244
cl,us,0
cl,vn,0
cn,as,0
cn,au,0
cn,be,0
cn,br,0
cn,ch,0
cn,cl,0
cn,cn,0
cn,cr,0
cn,cz,0
cn,eg,0
cn,fr,0
cn,ge,0
cn,gr,0
cn,hk,0
cn,id,0
cn,in,0
cn,ir,0
cn,it,0
cn,ja,0
cn,ko,0
cn,ma,0
cn,me,0
cn,ne,0
cn,nz,0
cn,pe,0
cn,ph,0
cn,pl,0
cn,po,0
cn,pk,0
cn,ru,0
cn,sa,0
cn,si,0
cn,sp,0
cn,sr,0
cn,th,0
cn,tw,0
cn,ua,0
cn,uk,131978
cn,us,1657249
cn,vn,0
cr,as,0
cr,au,0
cr,be,0
cr,br,0
cr,ch,0
cr,cl,0
cr,cn,0
cr,cr,0
cr,cz,0
cr,eg,0
cr,fr,0
cr,ge,0
cr,gr,0
cr,hk,0
cr,id,0
cr,in,0
cr,ir,0
cr,it,0
cr,ja,0
cr,ko,0
cr,ma,0
cr,me,0
cr,ne,0
cr,nz,0
cr,pe,0
cr,ph,0
cr,pl,0
cr,po,0
cr,pk,0
cr,ru,0
cr,sa,0
cr,si,0
cr,sp,0
cr,sr,0
cr,th,0
cr,tw,0
cr,ua,0
cr,uk,28186
cr,us,0
cr,vn,0
cz,as,0
cz,au,0
cz,be,0
cz,br,0
cz,ch,0
