Payer,Recipent,Trans
ar,ar,0
ar,as,0
ar,au,0
ar,be,0
ar,ch,0
ar,cn,0
ar,cr,0
ar,dn,0
ar,fn,0
ar,fr,0
ar,ge,0
ar,hk,0
ar,hu,0
ar,in,0
ar,ir,0
ar,it,0
ar,ja,0
ar,ko,0
ar,lb,0
ar,ma,0
ar,ne,0
ar,nz,0
ar,ph,0
ar,pl,0
ar,qa,0
ar,ru,0
ar,sa,0
ar,se,0
ar,si,0
ar,sp,0
ar,sr,0
ar,st,0
ar,sw,0
ar,sz,0
ar,th,0
ar,tu,0
ar,ua,0
ar,uh,0
ar,uk,0
ar,us,97956
ar,vn,0
as,ar,0
as,as,0
as,au,0
as,be,0
as,ch,0
as,cn,0
as,cr,0
as,dn,0
as,fn,0
as,fr,141421
as,ge,0
as,hk,0
as,hu,0
as,in,0
as,ir,0
as,it,0
as,ja,0
as,ko,0
as,lb,0
as,ma,0
as,ne,0
as,nz,0
as,ph,0
as,pl,0
as,qa,0
as,ru,0
as,sa,0
as,se,0
as,si,0
as,sp,0
as,sr,0
as,st,0
as,sw,0
as,sz,0
as,th,0
as,tu,0
as,ua,0
as,uh,0
as,uk,0
as,us,0
as,vn,0
au,ar,0
au,as,0
au,au,0
au,be,0
au,ch,0
au,cn,0
au,cr,0
au,dn,0
au,fn,0
au,fr,0
au,ge,0
au,hk,0
au,hu,0
au,in,0
au,ir,0
au,it,0
au,ja,0
au,ko,0
au,lb,0
au,ma,0
au,ne,1358339
au,nz,0
au,ph,0
au,pl,0
au,qa,0
au,ru,0
au,sa,0
au,se,0
au,si,0
au,sp,0
au,sr,0
au,st,0
au,sw,0
au,sz,0
au,th,0
au,tu,0
au,ua,0
au,uh,0
au,uk,0
au,us,0
au,vn,0
be,ar,0
be,as,0
be,au,0
be,be,0
be,ch,0
be,cn,0
be,cr,0
be,dn,0
be,fn,0
be,fr,849078
be,ge,0
be,hk,0
be,hu,0
be,in,0
be,ir,0
be,it,0
be,ja,0
be,ko,0
be,lb,0
be,ma,0
be,ne,0
be,nz,0
be,ph,0
be,pl,0
be,qa,0
be,ru,0
be,sa,0
be,se,0
be,si,0
be,sp,0
be,sr,0
be,st,0
be,sw,0
be,sz,0
be,th,0
be,tu,0
be,ua,0
be,uh,0
be,uk,0
be,us,0
be,vn,0
ch,ar,0
ch,as,0
ch,au,0
ch,be,0
ch,ch,0
ch,cn,0
ch,cr,0
ch,dn,0
ch,fn,0
ch,fr,0
ch,ge,0
ch,hk,0
ch,hu,0
ch,in,0
ch,ir,0
ch,it,0
ch,ja,0
ch,ko,0
ch,lb,0
ch,ma,0
ch,ne,1287089
ch,nz,0
ch,ph,0
ch,pl,0
ch,qa,0
ch,ru,0
ch,sa,0
ch,se,0
ch,si,0
ch,sp,0
ch,sr,0
ch,st,0
ch,sw,0
ch,sz,0
ch,th,0
ch,tu,0
ch,ua,0
ch,uh,0
ch,uk,0
