Payor,Recipient,Trans
ar,ar,0
ar,au,0
ar,be,0
ar,br,0
ar,ch,0
ar,cl,0
ar,cn,0
ar,co,0
ar,cz,0
ar,dn,0
ar,fn,0
ar,fr,0
ar,ge,0
ar,hk,0
ar,hu,0
ar,id,0
ar,in,0
ar,it,0
ar,ja,0
ar,ko,0
ar,me,0
ar,ne,0
ar,no,0
ar,pe,0
ar,pl,0
ar,po,0
ar,ru,0
ar,sa,0
ar,si,0
ar,sp,0
ar,sw,0
ar,sz,0
ar,tu,0
ar,ua,0
ar,uh,0
ar,uk,0
ar,us,66570
au,ar,0
au,au,0
au,be,0
au,br,0
au,ch,0
au,cl,0
au,cn,0
au,co,0
au,cz,0
au,dn,0
au,fn,0
au,fr,0
au,ge,0
au,hk,0
au,hu,0
au,id,0
au,in,0
au,it,0
au,ja,0
au,ko,0
au,me,0
au,ne,0
au,no,0
au,pe,0
au,pl,0
au,po,0
au,ru,0
au,sa,0
au,si,0
au,sp,0
au,sw,0
au,sz,0
au,tu,0
au,ua,0
au,uh,0
au,uk,0
au,us,728836
be,ar,0
be,au,0
be,be,0
be,br,0
be,ch,0
be,cl,0
be,cn,0
be,co,0
be,cz,0
be,dn,0
be,fn,0
be,fr,0
be,ge,0
be,hk,0
be,hu,0
be,id,0
be,in,0
be,it,0
be,ja,0
be,ko,0
be,me,0
be,ne,0
be,no,0
be,pe,0
be,pl,0
be,po,0
be,ru,0
be,sa,0
be,si,0
be,sp,0
be,sw,0
be,sz,0
be,tu,0
be,ua,0
be,uh,0
be,uk,205046
be,us,0
br,ar,0
br,au,0
br,be,0
br,br,1792028
br,ch,0
br,cl,0
br,cn,0
br,co,0
br,cz,0
br,dn,0
br,fn,0
br,fr,0
br,ge,0
br,hk,0
br,hu,0
br,id,0
br,in,0
br,it,0
br,ja,0
br,ko,0
br,me,0
br,ne,0
br,no,0
br,pe,0
br,pl,0
br,po,0
br,ru,0
br,sa,0
br,si,0
br,sp,0
br,sw,0
br,sz,0
br,tu,0
br,ua,0
br,uh,0
br,uk,0
br,us,673154
ch,ar,0
ch,au,0
ch,be,0
ch,br,0
ch,ch,0
ch,cl,0
ch,cn,0
ch,co,0
ch,cz,0
ch,dn,0
ch,fn,0
ch,fr,0
ch,ge,0
ch,hk,788799
ch,hu,0
ch,id,0
ch,in,0
ch,it,0
ch,ja,0
