Payer,Recipent,Trans
as,as,0
as,au,0
as,be,0
as,ch,0
as,cl,0
as,cz,0
as,dn,0
as,et,0
as,fn,0
as,fr,0
as,ge,0
as,gr,0
as,hk,0
as,hu,0
as,id,0
as,in,0
as,ir,0
as,it,0
as,la,0
as,lt,0
as,ma,0
as,me,0
as,ne,0
as,no,0
as,nz,0
as,ph,0
as,pl,0
as,ro,0
as,sa,0
as,si,0
as,sl,0
as,sp,0
as,sr,0
as,sw,0
as,sz,0
as,th,0
as,tw,0
as,ua,0
as,uk,304253
as,us,0
as,xt,0
au,as,0
au,au,0
au,be,0
au,ch,0
au,cl,0
au,cz,0
au,dn,0
au,et,0
au,fn,0
au,fr,0
au,ge,0
au,gr,0
au,hk,0
au,hu,0
au,id,0
au,in,0
au,ir,0
au,it,0
au,la,0
au,lt,0
au,ma,0
au,me,0
au,ne,0
au,no,0
au,nz,0
au,ph,0
au,pl,0
au,ro,0
au,sa,0
au,si,4307500
au,sl,0
au,sp,0
au,sr,0
au,sw,0
au,sz,0
au,th,0
au,tw,0
au,ua,0
au,uk,0
au,us,0
au,xt,0
be,as,0
be,au,0
be,be,0
be,ch,0
be,cl,0
be,cz,0
be,dn,0
be,et,0
be,fn,0
be,fr,0
be,ge,0
be,gr,0
be,hk,0
be,hu,0
be,id,0
be,in,0
be,ir,0
be,it,0
be,la,0
be,lt,0
be,ma,0
be,me,0
be,ne,0
be,no,0
be,nz,0
be,ph,0
be,pl,0
be,ro,0
be,sa,0
be,si,0
be,sl,0
be,sp,0
be,sr,0
be,sw,0
be,sz,0
be,th,0
be,tw,0
be,ua,0
be,uk,160891
be,us,0
be,xt,0
ch,as,0
ch,au,0
ch,be,0
ch,ch,1106094
ch,cl,0
ch,cz,0
ch,dn,0
ch,et,0
ch,fn,0
ch,fr,0
ch,ge,0
ch,gr,0
ch,hk,0
ch,hu,0
ch,id,0
ch,in,0
ch,ir,0
ch,it,0
ch,la,0
ch,lt,0
ch,ma,0
ch,me,0
ch,ne,0
ch,no,0
ch,nz,0
ch,ph,0
ch,pl,0
ch,ro,0
ch,sa,0
ch,si,3156629
ch,sl,0
ch,sp,0
ch,sr,0
ch,sw,0
ch,sz,0
ch,th,0
ch,tw,0
ch,ua,0
ch,uk,0
ch,us,0
ch,xt,0
cl,as,0
cl,au,0
cl,be,0
cl,ch,0
cl,cl,0
cl,cz,0
cl,dn,0
cl,et,0
cl,fn,0
cl,fr,0
cl,ge,0
cl,gr,0
cl,hk,0
cl,hu,0
cl,id,0
cl,in,0
cl,ir,0
cl,it,0
cl,la,0
cl,lt,0
cl,ma,0
cl,me,0
cl,ne,0
cl,no,0
cl,nz,0
cl,ph,0
cl,pl,0
cl,ro,0
cl,sa,0
cl,si,0
cl,sl,0
cl,sp,0
cl,sr,0
cl,sw,0
cl,sz,0
cl,th,0
cl,tw,0
cl,ua,0
cl,uk,0
cl,us,608658
cl,xt,0
cz,as,0
cz,au,0
cz,be,0
cz,ch,0
cz,cl,0
cz,cz,0
cz,dn,0
cz,et,0
cz,fn,0
cz,fr,0
cz,ge,0
cz,gr,0
cz,hk,0
cz,hu,0
cz,id,0
cz,in,0
cz,ir,0
cz,it,0
cz,la,0
cz,lt,0
cz,ma,0
cz,me,0
cz,ne,0
cz,no,0
cz,nz,0
cz,ph,0
cz,pl,0
cz,ro,0
cz,sa,0
cz,si,0
cz,sl,0
cz,sp,0
cz,sr,0
cz,sw,0
cz,sz,0
cz,th,0
cz,tw,0
cz,ua,0
cz,uk,1052566
cz,us,0
cz,xt,0
dn,as,0
dn,au,0
dn,be,0
dn,ch,0
dn,cl,0
dn,cz,0
dn,dn,0
dn,et,0
dn,fn,0
dn,fr,0
dn,ge,0
dn,gr,0
dn,hk,0
dn,hu,0
dn,id,0
dn,in,0
dn,ir,0
dn,it,0
dn,la,0
dn,lt,0
dn,ma,0
dn,me,0
dn,ne,0
dn,no,0
dn,nz,0
dn,ph,0
dn,pl,0
dn,ro,0
dn,sa,0
dn,si,0
dn,sl,0
dn,sp,0
dn,sr,0
dn,sw,0
dn,sz,0
dn,th,0
dn,tw,0
dn,ua,0
dn,uk,935337
dn,us,0
dn,xt,0
et,as,0
et,au,0
et,be,0
et,ch,0
et,cl,0
et,cz,0
et,dn,0
et,et,0
et,fn,0
et,fr,0
et,ge,0
et,gr,0
et,hk,0
et,hu,0
et,id,0
et,in,0
et,ir,0
et,it,0
et,la,0
et,lt,0
et,ma,0
et,me,0
et,ne,0
et,no,0
et,nz,0
et,ph,0
et,pl,0
et,ro,0
et,sa,0
et,si,0
et,sl,0
et,sp,0
et,sr,0
et,sw,0
et,sz,0
et,th,0
et,tw,0
et,ua,0
et,uk,24934
